,Temperature,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Windspeed
hailar,58.19,58.19,49.2,119.7,39.0,89.0,22.75
longyearbyen,35.6,35.6,78.22,15.64,64.0,30.0,11.41
chodavaram,80.6,80.6,17.83,82.95,88.0,40.0,2.24
fonte boa,75.52,75.52,-2.5,-66.27,98.0,66.0,2.08
kutum,73.89,73.89,14.2,24.67,18.0,2.0,5.66
vila,57.88,64.0,42.03,-8.16,72.0,0.0,3.94
puyang,74.59,74.59,29.46,119.89,88.0,100.0,2.73
hit,85.46,85.46,33.64,42.83,18.0,33.0,9.22
bamiantong,63.75,63.75,44.93,130.53,56.0,73.0,4.36
sao filipe,72.54,72.54,14.9,-24.5,80.0,18.0,12.33
foz do iguacu,57.61,60.8,-25.55,-54.59,93.0,0.0,2.24
ambunti,83.73,83.73,-4.24,142.84,82.0,84.0,1.41
namie,69.85,72.0,37.48,141.0,100.0,20.0,11.41
ciudad bolivar,89.17,89.17,8.12,-63.55,50.0,99.0,14.41
vagur,41.2,41.2,61.47,-6.81,76.0,96.0,19.89
ende,81.54,81.54,-8.84,121.66,78.0,28.0,5.19
talnakh,37.4,37.4,69.49,88.4,93.0,75.0,22.37
ron phibun,80.6,80.6,8.18,99.85,94.0,20.0,4.47
khani,62.6,62.6,41.96,42.96,88.0,75.0,14.99
ziro,53.74,53.74,27.63,93.83,100.0,23.0,1.48
boma,74.66,74.66,7.08,-2.17,97.0,96.0,2.42
sarab,64.69,64.69,38.61,44.99,48.0,62.0,2.59
hay river,42.8,42.8,60.82,-115.8,45.0,40.0,9.17
aksu,68.83,68.83,41.12,80.26,27.0,31.0,8.23
horta,64.11,64.11,38.53,-28.63,89.0,100.0,17.34
zhezkazgan,59.67,59.67,47.8,67.71,62.0,64.0,9.37
jalu,80.78,80.78,29.03,21.55,21.0,0.0,10.13
bara,86.85,86.85,10.37,10.73,51.0,77.0,4.9
hamilton,73.24,75.2,39.18,-84.53,69.0,1.0,10.29
kiama,61.86,63.0,-34.68,150.87,78.0,9.0,3.0
quatre cocos,71.82,72.0,-20.21,57.76,88.0,40.0,4.7
henties bay,64.13,64.13,-22.12,14.28,59.0,0.0,3.31
portland,68.02,71.01,45.52,-122.68,56.0,75.0,10.29
isangel,76.64,76.64,-19.55,169.27,67.0,25.0,10.98
shenjiamen,69.75,69.75,29.96,122.3,96.0,100.0,6.71
malibu,72.23,78.01,34.01,-118.81,79.0,70.0,1.99
sidi ali,60.13,60.13,36.1,0.42,90.0,62.0,6.31
palaikastron,82.99,82.99,35.2,26.25,21.0,0.0,13.0
soubre,75.09,75.09,5.79,-6.61,98.0,94.0,2.21
togur,51.22,51.22,58.36,82.83,82.0,20.0,4.5
ostersund,33.8,33.8,63.18,14.64,86.0,100.0,2.24
bereda,46.98,48.99,43.27,-7.54,98.0,8.0,3.0
leo,86.67,86.67,11.1,-2.1,52.0,14.0,8.23
yar-sale,34.03,34.03,66.83,70.83,97.0,100.0,3.24
el espinal,84.96,84.96,16.33,-94.07,62.0,40.0,7.47
los llanos de aridane,61.95,68.0,28.66,-17.92,56.0,90.0,14.99
mahina,86.0,86.0,-17.51,-149.49,70.0,75.0,9.17
shitkino,49.15,49.15,56.37,98.35,52.0,100.0,6.11
byron bay,64.81,66.0,-28.65,153.62,88.0,40.0,12.75
bilma,86.5,86.5,18.69,12.92,11.0,0.0,8.57
cruz do espirito santo,77.0,77.0,-7.14,-35.09,100.0,40.0,2.24
kapoeta,78.55,78.55,4.77,33.59,61.0,25.0,2.55
mogok,73.31,73.31,22.92,96.5,65.0,85.0,0.74
balingasay,83.64,83.64,16.36,119.86,74.0,0.0,8.5
katangli,38.07,38.07,51.71,143.23,77.0,62.0,16.26
batemans bay,63.0,63.0,-35.72,150.18,69.0,1.0,1.1
touros,75.2,75.2,-5.2,-35.46,100.0,75.0,2.24
avera,80.35,82.4,33.19,-82.53,45.0,1.0,3.36
lipari,78.01,78.01,38.47,14.95,42.0,100.0,1.01
faya,66.2,66.2,18.39,42.45,45.0,72.0,5.82
neryungri,48.33,48.33,56.67,124.65,73.0,100.0,5.12
skara,41.0,41.0,58.39,13.44,80.0,23.0,10.29
vijes,82.4,82.4,3.7,-76.44,69.0,75.0,9.17
aquiraz,77.0,77.0,-3.9,-38.39,88.0,75.0,3.36
virginia beach,75.07,78.01,36.85,-75.98,64.0,40.0,8.05
bossangoa,73.81,73.81,6.49,17.46,91.0,75.0,4.14
krasnogorsk,46.51,50.0,55.82,37.32,70.0,80.0,13.42
orotukan,33.6,33.6,62.27,151.7,93.0,100.0,7.76
lahat,75.31,75.31,-3.8,103.53,88.0,100.0,2.1
copacele,57.11,57.2,45.5,22.1,82.0,98.0,3.36
joutseno,36.59,37.0,61.12,28.51,93.0,90.0,11.41
lubango,56.26,56.26,-14.92,13.49,40.0,0.0,3.91
kudahuvadhoo,85.06,85.06,2.67,72.89,78.0,100.0,18.37
vila velha,69.39,69.8,-20.33,-40.29,94.0,90.0,4.7
port lincoln,59.38,59.38,-34.73,135.87,51.0,0.0,6.78
takhatpur,83.79,83.79,22.15,81.87,33.0,8.0,4.21
dunhua,53.19,53.19,43.37,128.24,84.0,92.0,5.32
carmen,93.2,93.2,18.63,-91.83,59.0,5.0,9.17
nushki,69.19,69.19,29.55,66.02,22.0,0.0,2.46
cehegin,62.04,63.0,38.09,-1.8,81.0,89.0,3.78
galle,82.54,82.54,6.04,80.22,83.0,99.0,16.04
kushima,74.25,75.2,31.46,131.23,83.0,75.0,8.05
tessalit,83.97,83.97,20.2,1.01,15.0,17.0,10.92
bambanglipuro,79.92,79.92,-7.95,110.28,85.0,95.0,6.73
san pedro de ycuamandiyu,57.65,57.65,-24.09,-57.08,62.0,0.0,3.38
tatarbunary,56.97,56.97,45.84,29.61,70.0,67.0,5.17
viransehir,75.07,75.07,37.24,39.76,38.0,0.0,9.46
tooele,68.85,69.8,40.53,-112.3,32.0,1.0,6.93
wolfeboro,60.35,62.6,43.58,-71.21,48.0,17.0,5.82
joigny,46.0,46.0,47.98,3.4,79.0,0.0,6.82
tucurui,75.81,75.81,-3.77,-49.67,92.0,99.0,1.81
nara,67.78,69.01,34.69,135.8,93.0,75.0,2.24
arrifes,62.6,62.6,37.77,-25.7,93.0,75.0,8.05
verkh-chebula,56.89,56.89,56.03,87.62,77.0,60.0,8.77
zachary,78.62,79.0,30.65,-91.16,74.0,75.0,19.46
novo cruzeiro,64.94,64.94,-17.47,-41.88,100.0,100.0,3.78
thale,47.93,50.0,51.75,11.05,70.0,100.0,1.01
surab,62.08,62.08,28.49,66.26,29.0,0.0,5.14
bol,87.15,87.15,13.46,14.71,34.0,59.0,10.22
cascais,62.64,64.99,38.7,-9.42,65.0,1.0,9.84
tongzi,72.82,72.82,28.78,105.09,74.0,100.0,3.83
aden,90.48,90.48,12.78,45.04,59.0,2.0,6.15
hokota,68.92,70.0,36.15,140.52,72.0,40.0,3.36
sitio novo do tocantins,75.87,75.87,-5.52,-47.46,88.0,3.0,1.88
puri,82.4,82.4,19.8,85.85,83.0,40.0,7.58
bonfim,82.49,82.49,3.08,-59.95,69.0,97.0,8.95
antalaha,73.27,73.27,-14.9,50.28,83.0,35.0,5.79
shimoda,66.47,68.0,34.67,138.95,88.0,75.0,2.24
safford,93.2,93.2,32.83,-109.71,12.0,1.0,12.75
moree,62.6,62.6,-29.47,149.85,59.0,5.0,7.38
caravelas,73.49,73.49,-17.71,-39.25,93.0,81.0,15.37
sembe,71.78,71.78,1.65,14.58,94.0,80.0,2.3
sabaudia,77.02,78.01,41.3,13.03,34.0,100.0,4.0
lanxi,76.19,76.19,29.22,119.48,85.0,100.0,2.44
shelkovskaya,60.8,60.8,43.51,46.34,87.0,90.0,15.66
mahebourg,71.6,71.6,-20.41,57.7,88.0,40.0,4.7
angoche,73.8,73.8,-16.23,39.91,69.0,30.0,14.03
richards bay,60.03,60.03,-28.78,32.04,83.0,7.0,5.08
batala,73.4,73.4,31.82,75.2,83.0,40.0,4.12
iracoubo,78.26,78.26,5.48,-53.2,86.0,81.0,12.41
westport,67.77,70.0,41.14,-73.36,54.0,55.0,4.36
krasnoselkup,45.9,45.9,65.7,82.47,93.0,100.0,10.58
bud,76.3,77.0,39.45,-86.18,57.0,40.0,8.05
yongan,48.74,48.74,39.7,113.69,49.0,99.0,1.41
korem,56.93,56.93,12.51,39.52,79.0,100.0,5.48
kasama,54.28,54.28,-10.21,31.18,72.0,0.0,4.47
presidencia roque saenz pena,61.21,61.21,-26.79,-60.44,60.0,0.0,5.91
college place,74.48,75.99,46.05,-118.39,29.0,1.0,8.05
melton,48.97,50.0,-37.68,144.58,66.0,0.0,10.29
mayo,72.14,73.4,38.89,-76.51,56.0,1.0,5.82
kenai,52.45,55.4,60.55,-151.26,62.0,1.0,14.99
hoopstad,52.48,52.48,-27.83,25.91,38.0,0.0,6.38
port keats,81.37,81.37,-14.25,129.55,55.0,21.0,12.8
pueblo nuevo,72.79,72.79,23.38,-105.38,23.0,0.0,7.4
havoysund,33.8,33.8,71.0,24.66,95.0,75.0,12.75
shubarkuduk,50.85,50.85,49.14,56.49,83.0,78.0,5.48
seddon,49.8,53.01,-37.81,144.89,81.0,0.0,2.08
cabra,57.99,57.99,37.47,-4.44,79.0,71.0,1.01
mago,45.46,45.46,53.25,140.18,57.0,30.0,8.72
gari,41.32,41.32,59.43,62.35,95.0,46.0,6.46
eyl,84.22,84.22,7.98,49.82,71.0,24.0,19.69
ngunguru,63.55,64.0,-35.62,174.5,78.0,79.0,7.0
pandoh,66.58,66.58,31.68,77.05,38.0,27.0,6.35
ostrovnoy,30.67,30.67,68.05,39.51,98.0,96.0,4.12
konevo,34.83,34.83,62.12,39.32,91.0,100.0,4.54
south sioux city,58.53,60.8,42.47,-96.41,72.0,90.0,12.75
khamgaon,85.86,85.86,20.68,76.57,33.0,51.0,11.83
farafangana,67.33,67.33,-22.82,47.83,87.0,23.0,5.86
male,84.69,84.69,4.17,73.51,77.0,99.0,18.86
kourou,80.6,80.6,5.16,-52.65,83.0,75.0,5.82
dubai,84.13,86.0,25.26,55.3,58.0,0.0,5.82
zhigansk,42.33,42.33,66.77,123.37,82.0,95.0,10.85
khandyga,52.3,52.3,62.67,135.6,58.0,44.0,4.63
tommot,57.04,57.04,58.96,126.29,50.0,92.0,1.41
comodoro rivadavia,59.0,59.0,-45.87,-67.5,41.0,0.0,36.91
nuuk,35.29,35.6,64.18,-51.72,93.0,13.0,20.8
rosetown,75.99,75.99,51.55,-108.0,18.0,57.0,8.99
banda aceh,79.34,79.34,5.56,95.32,85.0,100.0,13.56
pyshma,44.87,44.87,56.95,63.25,86.0,77.0,5.66
mogadishu,81.12,81.12,2.04,45.34,79.0,7.0,17.0
bismarck,63.5,64.4,46.81,-100.78,34.0,1.0,8.05
sibu,77.0,77.0,2.3,111.82,100.0,75.0,3.36
lewisporte,34.23,36.0,49.25,-55.05,86.0,20.0,14.99
saint-dizier,45.23,50.0,48.42,5.08,71.0,0.0,6.93
vilhena,71.6,71.6,-12.74,-60.15,83.0,20.0,8.05
flinders,63.0,63.0,-34.58,150.86,78.0,7.0,8.99
kavieng,85.64,85.64,-2.57,150.8,66.0,65.0,8.08
songea,55.26,55.26,-10.68,35.65,89.0,8.0,2.37
kavaratti,85.17,85.17,10.57,72.64,79.0,100.0,14.36
egvekinot,28.92,28.92,66.32,-179.17,96.0,11.0,14.03
